	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size
494	34.9838	2687.63	1480.76	0.0474843	95.001	51.8424	116.382	113.334	40.6178	37.5704	8.81481	8.66244	5.02662	4.87425	68.1956	45843.5	5.61866	3.92358e+06	5.09123e+06	153892	9025.19	3865630	39.3427	1.86816	0.00880972	42	16	-7539050799893907968	0.2729	0.9998	0.7269	0.01	3	16	494	True	True	True	1590103482147130372	0	25000
495	34.8139	2496.49	1347.71	0.0486842	89.4953	49.9649	114.395	111.372	40.0593	37.0369	8.71546	8.56434	4.9987	4.84758	64	39966.1	5.46577	2.9875e+06	3.84849e+06	128173	8009.41	2962430	46.1782	2.24815	0.00983508	42	16	-7977750135435059581	0.2822	0.9996	0.7174	0.01	3	14	495	True	True	True	1590103484197351351	1	25000
496	35.3883	2659.62	1461.92	0.0498519	94.717	51.5715	116.289	113.29	40.6624	37.6637	8.81018	8.66025	5.02885	4.87891	75.3071	50094.4	6.82382	4.02798e+06	5.19993e+06	168923	8971.32	3865630	38.4568	1.91714	0.00979445	42	15	-7539050799893907968	0.27456	0.99976	0.7252	0.01	3	16	496	True	True	True	1590103490367972817	2	25000
497	34.9657	2681.57	1467.92	0.0477006	94.8738	51.7839	116.312	113.27	40.6005	37.5577	8.81135	8.65921	5.02576	4.87362	77.9263	52263.5	6.05917	3.96853e+06	5.13577e+06	175377	9001.04	3865630	38.5529	1.83899	0.00927931	42	16	-7539050799893907968	0.26996	0.99976	0.7298	0.01	3	16	497	True	True	True	1590103490867723530	1	25000
498	35.6004	2731.05	1467.02	0.0516784	95.2428	52.2594	116.412	113.45	40.7263	37.7636	8.81635	8.66822	5.03205	4.88391	72.8178	49739.4	6.05917	3.9802e+06	5.13731e+06	165158	9071.19	3865630	40.0852	2.07154	0.00997778	42	15	-7539050799893907968	0.27752	0.99992	0.7224	0.01	3	16	498	True	True	True	1590103509086763327	4	25000
499	35.9456	2698.82	1455.32	0.0462503	94.9974	51.9502	116.375	113.302	40.7939	37.7202	8.8145	8.66082	5.03543	4.88174	70.4499	47555.2	6.29912	3.99104e+06	5.15461e+06	158966	9024.5	3865630	39.6706	1.83477	0.00883136	42	16	-7539050799893907968	0.26716	0.99956	0.7324	0.01	3	16	499	True	True	True	1590103509149016712	3	25000
525	31.6358	2165.24	1801.83	0.0421434	85.7121	46.5321	141.945	138.778	46.9955	43.8288	8.71752	8.59572	5.06561	4.94382	75.3071	40786.8	6.5536	1.45199e+06	1.88244e+06	138334	7346.56	1414630	435.595	18.3575	0.00941548	42	28	4394077659014015712	0.344	0.9998	0.6558	0.001	4	8	525	True	True	True	1590103748642993630	0	25000
526	31.0452	2135.06	1811.48	0.0412141	85.4657	46.2067	141.959	138.77	46.8808	43.6918	8.71805	8.5954	5.0612	4.93855	72.8178	38889.9	5.8881	1.42069e+06	1.85406e+06	132994	7304.38	1414630	437.912	18.0482	0.00896625	42	28	4394077659014015712	0.34194	0.99984	0.6579	0.001	4	8	526	True	True	True	1590103758437427528	1	25000
527	30.7757	2119.7	1795.76	0.0409065	85.4347	46.0402	141.87	138.673	46.9392	43.7427	8.71462	8.59168	5.06345	4.94051	70.4499	37355.4	6.05917	1.42284e+06	1.85849e+06	128577	7299.08	1414630	418.615	17.1241	0.00912505	42	28	4394077659014015712	0.33644	0.99984	0.6634	0.001	4	8	527	True	True	True	1590103768309093192	3	25000
528	31.5573	2146.74	1798.05	0.0412647	85.4449	46.3329	141.898	138.71	46.9222	43.7345	8.71572	8.59311	5.0628	4.94019	72.8178	39102.5	6.05917	1.42777e+06	1.85905e+06	132930	7300.83	1414630	428.926	17.6995	0.00917549	42	30	4394077659014015712	0.34476	0.99996	0.6552	0.001	4	8	528	True	True	True	1590103768280445768	4	25000
529	32.243	2173.58	1792.45	0.0418047	85.7225	46.6217	141.954	138.779	47.0471	43.8724	8.71787	8.59577	5.0676	4.9455	68.1956	37079.4	6.05917	1.43363e+06	1.86282e+06	125304	7348.35	1414630	439.511	18.3736	0.00957162	42	29	4394077659014015712	0.33912	0.99992	0.6608	0.001	4	8	529	True	True	True	1590103768470014143	2	25000
530	31.8865	2619.62	2197.76	0.0420824	95.7018	51.1822	147.275	144.107	48.5064	45.3382	8.92252	8.80067	5.12373	5.00187	72.8178	47710.9	6.05917	2.22997e+06	2.91804e+06	166754	9158.83	2205780	423.355	17.8158	0.00978342	42	26	-71895497142289053	0.33616	0.99976	0.6636	0.001	4	10	530	True	True	True	1590103776985149227	1	25000
531	31.207	2588.59	2208.34	0.0406439	95.544	50.8782	147.182	143.979	48.366	45.1631	8.91893	8.79575	5.11833	4.99514	72.8178	47146.1	5.61866	2.20478e+06	2.89759e+06	166205	9128.66	2205780	405.13	16.4661	0.00892611	42	24	-71895497142289053	0.33596	0.99996	0.664	0.001	4	10	531	True	True	True	1590103777256457303	0	25000
532	31.5916	3106.39	2621.47	0.0415871	105.112	55.735	151.499	148.319	49.5298	46.3499	9.08499	8.96269	5.16309	5.04078	77.9263	60539.7	5.56699	3.16604e+06	4.16942e+06	215266	11048.6	3171930	390.785	16.2516	0.00942233	42	21	1616255780376910287	0.33752	0.99992	0.6624	0.001	4	12	532	True	True	True	1590103807471131102	0	25000
533	31.5194	2633.51	2207.57	0.0416394	95.7614	51.3177	147.204	144.025	48.3371	45.1584	8.91978	8.79752	5.11721	4.99496	72.8178	47963.8	6.23781	2.25432e+06	2.94017e+06	166961	9170.24	2205780	408.89	17.0259	0.00978169	42	26	-71895497142289053	0.33604	0.99984	0.6638	0.001	4	10	533	True	True	True	1590103808113900229	4	25000
534	31.7833	2571.34	2206.95	0.0418977	95.3823	50.7084	147.147	143.975	48.4039	45.2313	8.91761	8.7956	5.11978	4.99776	72.8178	46832.2	5.61866	2.19519e+06	2.88981e+06	165642	9097.78	2205780	399.924	16.7559	0.00969246	42	24	-71895497142289053	0.3426	0.9998	0.6572	0.001	4	10	534	True	True	True	1590103808395826708	2	25000
535	31.8245	2627.76	2202.92	0.0409387	95.8219	51.2617	147.12	143.925	48.3613	45.1657	8.91658	8.79367	5.11815	4.99524	75.3071	49494.5	6.00133	2.24113e+06	2.92888e+06	172887	9181.84	2205780	390.423	15.9834	0.00920792	42	25	-71895497142289053	0.33708	0.99988	0.6628	0.001	4	10	535	True	True	True	1590103808632650041	3	25000
536	32.0044	3011.46	2594.95	0.0374324	104.316	54.8767	151.382	148.097	49.5095	46.2243	9.08049	8.95413	5.16231	5.03595	75.3071	56718.3	5.61866	3.17499e+06	4.19088e+06	204893	10881.9	3171930	370.48	13.868	0.00770379	42	23	1616255780376910287	0.31926	0.99996	0.6807	0.001	4	12	536	True	True	True	1590103817838668264	2	25000
537	32.0729	3066.74	2600.64	0.041051	104.72	55.3782	151.447	148.254	49.5561	46.3631	9.08298	8.96018	5.1641	5.04129	77.9263	59767.3	5.22449	3.15179e+06	4.15942e+06	213662	10966.3	3171930	381.115	15.6452	0.00934279	42	22	1616255780376910287	0.34052	0.99992	0.6594	0.001	4	12	537	True	True	True	1590103818278606537	1	25000
538	31.6253	3083.75	2620.9	0.0408164	104.902	55.5315	151.433	148.234	49.445	46.2464	9.08243	8.9594	5.15983	5.0368	77.9263	60098.6	5.22449	3.13341e+06	4.13941e+06	214404	11004.3	3171930	372.766	15.215	0.00991801	42	22	1616255780376910287	0.33522	0.99972	0.6645	0.001	4	12	538	True	True	True	1590103828426698446	3	25000
539	31.613	3090.84	2632.47	0.0413354	104.906	55.5953	151.55	148.364	49.4619	46.2759	9.08696	8.96441	5.16048	5.03794	77.9263	60236.7	5.56699	3.16902e+06	4.17327e+06	214424	11005.3	3171930	399.309	16.5056	0.00981425	42	23	1616255780376910287	0.33548	0.99988	0.6644	0.001	4	12	539	True	True	True	1590103836742737412	4	25000
540	32.1482	3519.64	3020.55	0.0400012	113.076	59.3265	155.069	151.85	50.4584	47.2396	9.22229	9.09849	5.1988	5.075	80.6845	71017.4	5.22449	4.24137e+06	5.62883e+06	257933	12786.1	4313080	364.833	14.5938	0.00867385	42	21	7283174895500367012	0.33082	0.99992	0.6691	0.001	4	14	540	True	True	True	1590103845461387901	0	25000
