	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
549	549	42.365997314453125	2997.986572265625	3339.444091796875	0.031599901616573334	121.71089172363281	54.75387191772461	220.39697265625	216.94236755371094	72.26692199707031	68.81231689453125	9.437506675720215	9.346595764160156	5.539347171783447	5.448436737060547	53.498775482177734	40119.26953125	4.095424175262451	6250734.5	9044616.0	198148.6875	14813.541015625	7014380	29.73322868347168	0.9395670890808105	0.009828009643554687	42	46	6086328905869543902	0.11692000000000002	0.99912	0.8822	0.001584893192461114	6	14	3	25000	1590953258287192328	True	True	True
550	550	42.45270919799805	3265.9990234375	3722.5	0.033513348549604416	129.37416076660156	57.148921966552734	224.61236572265625	221.216552734375	73.64653015136719	70.25071716308594	9.54843807220459	9.459074020385742	5.575652599334717	5.486289024353027	56.69204330444336	46311.1875	3.4917149543762207	7806171.5	11536899.0	237245.375	16737.66796875	9156430	26.528560638427734	0.889060914516449	0.009846641540527343	42	40	5597536991155358504	0.10562000000000005	0.99972	0.8941	0.001584893192461114	6	16	3	25000	1590953258344802298	True	True	True
551	551	43.595947265625	3518.24853515625	3772.979248046875	0.030971499159932137	130.9872283935547	59.314823150634766	225.22079467773438	221.74610900878906	74.00727844238281	70.5325927734375	9.564449310302734	9.473010063171387	5.585145950317383	5.493706703186035	56.69204330444336	49886.31640625	3.441293954849243	7895852.0	11513529.0	243197.765625	17157.65234375	9156430	28.521337509155273	0.8833485841751099	0.009396215209960937	42	34	5597536991155358504	0.11063999999999996	0.99964	0.889	0.001584893192461114	6	16	4	25000	1590953273713990413	True	True	True
552	552	44.31083679199219	1756.572265625	1958.170166015625	0.03444155678153038	95.95747375488281	41.91147994995117	203.36721801757812	199.9987335205078	69.30697631835938	65.93848419189453	8.989355087280273	8.900711059570312	5.461453914642334	5.372809410095215	47.87144088745117	21044.470703125	3.54325270652771	3124134.25	4604173.0	110220.1640625	9207.8369140625	3585280	13.79165267944336	0.47500601410865784	0.00977137954711914	42	41	4257343411619081480	0.11187999999999998	0.99928	0.8874	0.0031622776601683794	6	10	0	25000	1590953273806357610	True	True	True
553	553	43.916282653808594	1543.2996826171875	1652.5341796875	0.03509591892361641	86.35121154785156	39.284854888916016	195.94155883789062	192.59188842773438	67.13909912109375	63.7894287109375	8.793943405151367	8.705793380737305	5.404404640197754	5.316255569458008	45.385040283203125	17532.716796875	3.622725009918213	2035301.25	2936952.75	84625.78125	7456.53173828125	2298230	15.889666557312012	0.5576624274253845	0.00971595184326172	42	42	5740211648793378149	0.10984000000000005	0.99924	0.8894	0.0031622776601683794	6	8	4	25000	1590953275154119421	True	True	True
554	554	43.56864929199219	1493.85107421875	1650.847900390625	0.03391997516155243	86.01736450195312	38.65037155151367	195.88177490234375	192.49801635742188	66.85616302490234	63.472412109375	8.792369842529297	8.703323364257812	5.396958827972412	5.307912826538086	45.385040283203125	16971.66015625	3.761248826980591	2048855.125	2964695.75	83972.859375	7398.9873046875	2298230	16.980981826782227	0.5759944915771484	0.009953695373535156	42	38	5740211648793378149	0.10944000000000009	0.99904	0.8896	0.0031622776601683794	6	8	2	25000	1590953275197065581	True	True	True
555	555	43.1376838684082	1504.23779296875	1654.2518310546875	0.0340140163898468	86.12030029296875	38.784507751464844	195.88687133789062	192.50588989257812	66.72754669189453	63.34656524658203	8.792503356933594	8.703531265258789	5.393574237823486	5.304600715637207	45.385040283203125	17089.51171875	3.54325270652771	2034134.875	2947388.25	84173.90625	7416.70654296875	2298230	15.032346725463867	0.5113104581832886	0.008278518981933594	42	43	5740211648793378149	0.10504000000000002	0.99964	0.8946	0.0031622776601683794	6	8	0	25000	1590953276216915153	True	True	True
556	556	43.405799865722656	1515.5174560546875	1659.05224609375	0.03473944962024689	86.1147232055664	38.92964553833008	195.9527587890625	192.59288024902344	66.7829360961914	63.423057556152344	8.79423713684082	8.705820083618164	5.395031929016113	5.306613922119141	45.385040283203125	17217.48828125	4.0	2074431.375	2983323.0	84163.0078125	7415.7451171875	2298230	17.112361907958984	0.5944740176200867	0.008972006530761719	42	40	5740211648793378149	0.1078	0.9994	0.8916	0.0031622776601683794	6	8	3	25000	1590953276204366397	True	True	True
557	557	43.8624267578125	1523.4036865234375	1657.4061279296875	0.03605186194181442	86.22888946533203	39.03080749511719	196.15370178222656	192.83090209960938	67.1312255859375	63.80842971801758	8.79952621459961	8.71208381652832	5.4041972160339355	5.316755294799805	45.385040283203125	17306.97265625	3.8482112884521484	2052047.5	2959491.75	84386.2578125	7435.4208984375	2298230	18.344606399536133	0.6613571643829346	0.009816863861083984	42	36	5740211648793378149	0.11377999999999999	0.99928	0.8855	0.0031622776601683794	6	8	1	25000	1590953277508447990	True	True	True
558	558	44.90701675415039	1745.981689453125	1931.863037109375	0.03660711273550987	95.58646392822266	41.78494644165039	203.20822143554688	199.9007110595703	69.39254760742188	66.08503723144531	8.985170364379883	8.898131370544434	5.463706016540527	5.376666069030762	45.385040283203125	19832.3984375	3.273158550262451	3063452.25	4541984.5	103690.2265625	9136.7724609375	3585280	14.962366104125977	0.5477290153503418	0.009919444427490234	42	45	4257343411619081480	0.10533999999999999	0.99944	0.8941	0.0031622776601683794	6	10	4	25000	1590953284702943638	True	True	True
