	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
338	338	0.001	16	3	114.896	65.5479	123.132	9.15235	13201.2	606.243	3865630	40.5985	5.02566	4296.53	2981	28.8354	266304	86687.4	80.6845	4.80615e+06	3.72389e+06	6.48855	0.0337591	119.744	8.98292	37.21	4.85623	20.4662	-800326134437226231	0.0092811	42	2	12500	25	0.431	0.569	1	1590115796213857705	True	True	True
339	339	0.001	16	3	115.349	66.0926	123.304	9.16092	13305.5	660.012	3865630	40.6914	5.0303	4368.23	2992.64	29.2373	299057	98196	89.8985	4.88076e+06	3.80687e+06	7.18577	0.0347727	119.945	8.99298	37.3324	4.86235	22.9504	-800326134437226231	0.00994885	42	0	12500	25	0.4321	0.5679	1	1590115294931860063	True	True	True
341	341	0.003162	8	5	81.9463	40.7352	166.757	8.67689	6715.2	28.7065	1856430	56.6122	5.23487	1659.35	1508.85	38.0498	89835.2	22214.8	53.4988	2.50328e+06	1.85692e+06	5.8881	0.0321094	163.318	8.56943	53.1735	5.12741	0.921748	9093518227723985452	0.00943487	42	2	12500	58	0.3745	0.6239	0.9984	1590115181798366700	True	True	True
348	348	0.001	8	3	81.404	47.4998	110.813	8.53637	6626.61	673.935	972830	37.4261	4.86704	2256.23	1539.9	28.5792	124779	42499.1	75.3071	1.26724e+06	1.00624e+06	8.46281	0.0373355	107.525	8.37198	34.1383	4.70265	25.1617	3577345688727135263	0.00935261	42	4	12500	35	0.4583	0.5417	1	1590115773102826088	True	True	True
350	350	0.00631	12	2	84.5267	56.2301	82.2374	8.51316	7144.76	358.926	1186530	29.3737	4.73718	3161.83	1141.89	35.7271	134534	59548.6	75.3071	1.61366e+06	1.37263e+06	8.46281	0.0431285	79.0938	8.28862	26.2301	4.51264	15.4799	1796527129861811897	0.00945918	42	2	12500	29	0.32502	0.6749	0.99992	1590114768352116652	True	True	True
352	352	0.003162	16	5	114.554	51.4688	185.904	9.27524	13122.5	19.5396	7392830	61.8779	5.39942	2649.04	2686.56	38.0779	197450	39876.3	60.18	1.0155e+07	7.20596e+06	6.00133	0.0311077	182.434	9.16679	58.4076	5.29097	0.607833	-5508358605167037948	0.00910506	42	1	12500	37	0.36232	0.6364	0.99872	1590115473261457163	True	True	True
353	353	0.00631	10	3	80.8131	45.0382	111.028	8.54715	6530.76	115.374	1516030	37.9144	4.89145	2028.44	1347.54	30.7293	101323	31485.6	62.0459	1.99622e+06	1.55455e+06	5.77804	0.0463456	107.957	8.39357	34.8428	4.73787	5.34709	-2691622468533697284	0.00979458	42	2	12500	18	0.3704	0.6296	1	1590114452722268270	True	True	True
354	354	0.001585	14	2	97.8138	64.6253	86.0155	8.78302	9567.55	919.874	1611780	29.9062	4.77521	4176.43	1755.26	35.3498	193010	84264.9	80.6845	2.15353e+06	1.82047e+06	10.3692	0.0384967	82.7583	8.55037	26.649	4.54256	35.4121	-1571988516828905522	0.00999811	42	3	12500	52	0.3629	0.6371	1	1590115794765591834	True	True	True
356	356	0.001	14	4	116.081	61.736	155.693	9.24628	13474.7	484.718	4313080	50.4491	5.19845	3811.34	3244.61	30.3291	262530	74272.5	77.9263	5.56928e+06	4.211e+06	5.4162	0.0367028	152.388	9.11917	47.1442	5.07133	17.7905	1754727041327055591	0.00898437	42	4	12500	24	0.4147	0.5853	1	1590116233796214646	True	True	True
364	364	0.003162	10	2	82.3868	56.6551	81.3766	8.45167	6787.59	716.173	826280	28.8283	4.69822	3209.8	1168.35	35.7334	123586	58454.1	72.8178	1.1133e+06	959193	9.6288	0.041383	78.1917	8.22418	25.6434	4.47073	29.6374	-9142362719294473386	0.00991841	42	2	12500	41	0.3486	0.6514	1	1590114912172898196	True	True	True
365	365	0.001	10	6	107.185	52.0763	212.107	9.21935	11488.7	92.2414	3585280	69.6209	5.46972	2711.94	2796.4	41.6876	183841	43412.6	64	4.53988e+06	3.24986e+06	4.78749	0.0309534	208.632	9.1279	66.1457	5.37826	2.85518	-4508936653500366188	0.00837722	42	4	12500	123	0.40114	0.5987	0.99984	1590167402286411402	True	True	True
